miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR18A	MIR18B	PHC2	PHC3
MIR18A	MIR18B	YTHDF3	YTHDF1
MIR18A	MIR18B	ZFP69	ZNF493
MIR190A	MIR190B	not_in_G	not_in_G
MIR196A1	MIR196A2	RUFY3	RUFY2
MIR196A1	MIR196A2	B4GALT4	B4GALT1
MIR196A1	MIR196A2	MAML1	MAML3
MIR196A1	MIR196A2	S1PR1	LPAR1
MIR196A1	MIR196A2	HOXB8	HOXC8
MIR196A1	MIR196A2	GLTP	PLEKHA8
MIR196A1	MIR196A2	MBNL3	MBNL1
MIR196A1	MIR196B	RUFY3	RUFY2
MIR196A1	MIR196B	B4GALT4	B4GALT1
MIR196A1	MIR196B	S1PR1	LPAR1
MIR196A1	MIR196B	HOXB8	HOXC8
MIR196A1	MIR196B	MBNL3	MBNL1
MIR196A2	MIR196B	RUFY3	RUFY2
MIR196A2	MIR196B	B4GALT4	B4GALT1
MIR196A2	MIR196B	S1PR1	LPAR1
MIR196A2	MIR196B	HOXB8	HOXC8
MIR196A2	MIR196B	MBNL3	MBNL1
MIR199A1	MIR199A2	ZNF433	ZNF43
MIR199A1	MIR199A2	G3BP2	G3BP1
MIR199A1	MIR199A2	PRKCA	PRKCB
MIR199A1	MIR199A2	APP	APLP2
MIR199A1	MIR199B	G3BP2	G3BP1
MIR199A1	MIR199B	PRKCA	PRKCB
MIR199A1	MIR199B	APP	APLP2
MIR199A2	MIR199B	G3BP2	G3BP1
MIR199A2	MIR199B	PRKCA	PRKCB
MIR199A2	MIR199B	APP	APLP2
MIR19B1	MIR19B2	CCND1	CCND2
MIR19B1	MIR19B2	CNIH1	CNIH3
MIR19B1	MIR19B2	HIPK1	HIPK3
MIR19B1	MIR19B2	PPP2R5E	PPP2R5A
MIR19B1	MIR19B2	BRWD3	BRWD1
MIR19B1	MIR19B2	LRCH3	LRCH1
MIR19B1	MIR19B2	SOCS1	SOCS3
MIR19B1	MIR19B2	MBNL3	MBNL1
MIR141	MIR200A	ARRDC3	ARRDC4
MIR20A	MIR20B	CCND1	CCND2
MIR20A	MIR20B	MOB1A	MOB1B
MIR20A	MIR20B	TNRC6B	TNRC6A
MIR20A	MIR20B	MAST4	MAST2
MIR20A	MIR93	CCND1	CCND2
MIR20A	MIR93	MOB1A	MOB1B
MIR20A	MIR93	LRCH3	LRCH1
MIR20A	MIR93	MAST2	MAST4
MIR20A	MIR93	TNRC6B	TNRC6A
MIR20B	MIR93	RUFY3	RUFY2
MIR20B	MIR93	CCND1	CCND2
MIR20B	MIR93	MOB1A	MOB1B
MIR20B	MIR93	SMAD5	SMAD2
MIR20B	MIR93	TNRC6B	TNRC6A
MIR20B	MIR93	MAST4	MAST2
MIR218-1	MIR218-2	GNAI2	GNAI3
MIR23A	MIR23B	CDC42BPA	CDC42BPB
MIR23A	MIR23B	ZNF254	ZNF606
MIR23A	MIR23B	HIF1A	EPAS1
MIR23A	MIR23B	MTCL1	SOGA1
MIR23A	MIR23B	TOP2A	TOP2B
MIR23A	MIR23B	MEIS1	MEIS2
MIR23A	MIR23B	DOCK10	DOCK9
MIR23A	MIR23B	ZBTB38	ZBTB33
MIR23A	MIR23B	HMGB2	HMGB1
MIR23A	MIR23B	ZNF12	ZNF606
MIR23A	MIR23B	NACC1	ZBTB34
MIR23A	MIR23B	TNRC6B	TNRC6A
MIR23A	MIR23B	TET3	TET2
MIR23A	MIR23B	RIC8B	RIC8A
MIR23A	MIR23B	ZNF208	ZNF606
MIR24-1	MIR24-2	ZNF395	ZNF704
MIR24-1	MIR24-2	ARID1A	ARID1B
MIR24-1	MIR24-2	ITGB1	ITGB5
MIR24-1	MIR24-2	ODC1	AZIN1
MIR24-1	MIR24-2	ILF3	ZFR
MIR24-1	MIR24-2	CDK17	CDK16
MIR24-1	MIR24-2	AP2B1	AP1B1
MIR24-1	MIR24-2	S1PR1	GPR3
MIR24-1	MIR24-2	RAB11FIP5	RAB11FIP1
MIR24-1	MIR24-2	HIVEP2	HIVEP1
MIR24-1	MIR24-2	SSH2	SSH1
MIR24-1	MIR24-2	ZBTB38	ZBTB33
MIR24-1	MIR24-2	SOX7	SOX18
MIR24-1	MIR24-2	FLNB	FLNC
MIR24-1	MIR24-2	NFATC2	NFATC3
MIR24-1	MIR24-2	CALU	RCN3
MIR24-1	MIR24-2	SCAMP4	SCAMP5
MIR24-1	MIR24-2	FAM120A	FAM120C
MIR24-1	MIR24-2	ADAM9	ADAM19
MIR24-1	MIR24-2	TYK2	JAK1
MIR24-1	MIR24-2	SH2B1	SH2B3
MIR24-1	MIR24-2	PKN1	PKN3
MIR24-1	MIR24-2	HS6ST1	HS6ST3
MIR24-1	MIR24-2	ARHGAP21	ARHGAP23
MIR24-1	MIR24-2	IGFBP4	IGFBP5
MIR26A1	MIR26A2	CCND1	CCND2
MIR26A1	MIR26A2	DIAPH2	DIAPH1
MIR26A1	MIR26A2	TET1	TET3
MIR26A1	MIR26A2	TRIM33	TRIM24
MIR26A1	MIR26A2	PIM1	PIM3
MIR26A1	MIR26A2	TSPAN9	CD82
MIR26A1	MIR26A2	MACF1	DST
MIR26A1	MIR26A2	ZFP36L1	ZFP36L2
MIR26A1	MIR26A2	TNRC6B	TNRC6A
MIR26A1	MIR26A2	VPS13C	VPS13A
MIR26A1	MIR26A2	SATB1	SATB2
MIR26A1	MIR26A2	REEP4	REEP3
MIR26A1	MIR26A2	HNRNPUL1	HNRNPU
MIR26A1	MIR26A2	CAPN1	CAPN2
MIR26A1	MIR26A2	DDX5	DDX17
MIR26A1	MIR26A2	MMP16	MMP14
MIR26A1	MIR26A2	KMT2D	KMT2C
MIR26A1	MIR26B	TNRC6B	TNRC6A
MIR26A1	MIR26B	TET3	TET1
MIR26A1	MIR26B	TRIM24	TRIM33
MIR26A1	MIR26B	DDX5	DDX17
MIR26A1	MIR26B	REEP4	REEP3
MIR26A2	MIR26B	TNRC6B	TNRC6A
MIR26A2	MIR26B	TET3	TET1
MIR26A2	MIR26B	TRIM24	TRIM33
MIR26A2	MIR26B	DDX5	DDX17
MIR26A2	MIR26B	REEP4	REEP3
MIR27A	MIR27B	YAP1	WWTR1
MIR27A	MIR27B	ZFP36	ZFP36L1
MIR27A	MIR27B	NAV3	NAV1
MIR27A	MIR27B	NAV3	NAV2
MIR27A	MIR27B	SYNE1	SYNE2
MIR27A	MIR27B	RCAN1	RCAN2
MIR27A	MIR27B	CLIP2	CLIP1
MIR27A	MIR27B	KDM5B	KDM5A
MIR27A	MIR27B	COL12A1	FN1
MIR27A	MIR27B	PLEKHA3	PLEKHA8
MIR27A	MIR27B	NAV1	NAV2
MIR27A	MIR27B	TNRC6B	TNRC6A
MIR27A	MIR27B	LARP4	LARP4B
MIR27A	MIR27B	ZMYM2	ZMYM4
MIR27A	MIR27B	HNRNPA1	HNRNPA2B1
MIR27A	MIR27B	FBN1	FBN2
MIR27A	MIR27B	PHIP	BRWD1
MIR29A	MIR29C	ZFP36	ZFP36L1
MIR29A	MIR29C	COL1A2	COL3A1
MIR29A	MIR29C	COL1A2	COL5A2
MIR29A	MIR29C	RELA	REL
MIR29A	MIR29C	NAV3	NAV1
MIR29A	MIR29C	ATAD2	ATAD2B
MIR29A	MIR29C	ANKRD13B	ANKRD13A
MIR29A	MIR29C	MMP2	MMP16
MIR29A	MIR29C	IREB2	ACO1
MIR29A	MIR29C	RLF	ZNF292
MIR29A	MIR29C	SH3PXD2A	SH3PXD2B
MIR29A	MIR29C	TET3	TET2
MIR29A	MIR29C	MORF4L2	MORF4L1
MIR29A	MIR29C	FBN1	FBN2
MIR29A	MIR29C	COL5A2	COL1A1
MIR29B1	MIR29B2	MMP15	MMP24
MIR29B1	MIR29B2	MMP15	MMP16
MIR29B1	MIR29B2	ZFP36	ZFP36L1
MIR29B1	MIR29B2	COL1A2	COL3A1
MIR29B1	MIR29B2	COL1A2	COL5A2
MIR29B1	MIR29B2	FEM1C	FEM1B
MIR29B1	MIR29B2	RELA	REL
MIR29B1	MIR29B2	NAV3	NAV1
MIR29B1	MIR29B2	ATAD2	ATAD2B
MIR29B1	MIR29B2	ANKRD13B	ANKRD13A
MIR29B1	MIR29B2	MMP2	MMP24
MIR29B1	MIR29B2	MMP2	MMP16
MIR29B1	MIR29B2	KDM5B	KDM5A
MIR29B1	MIR29B2	E2F7	E2F8
MIR29B1	MIR29B2	IREB2	ACO1
MIR29B1	MIR29B2	RLF	ZNF292
MIR29B1	MIR29B2	SH3PXD2A	SH3PXD2B
MIR29B1	MIR29B2	TET3	TET2
MIR29B1	MIR29B2	MORF4L2	MORF4L1
MIR29B1	MIR29B2	FBN1	FBN2
MIR29B1	MIR29B2	SMARCA5	SMARCA1
MIR29B1	MIR29B2	COL5A2	COL1A1
MIR29B1	MIR29B2	MMP24	MMP16
MIR301A	MIR301B	UBC	UBB
MIR301A	MIR301B	DDX5	DDX17
MIR30A	MIR30E	FAM117B	GLCCI1
MIR30A	MIR30E	SOCS1	SOCS3
MIR30A	MIR30E	GOLGB1	EEA1
MIR30A	MIR30E	GOLGB1	CENPF
MIR30A	MIR30E	TAOK1	TAOK3
MIR30A	MIR30E	PLAGL2	PLAG1
MIR30A	MIR30E	DYRK2	DYRK3
MIR30A	MIR30E	NFKB2	NFKB1
MIR30A	MIR30E	CRMP1	DPYSL2
MIR30A	MIR30E	FGF5	FGF2
MIR30A	MIR30E	ATL2	ATL3
MIR30A	MIR30E	EEA1	CENPF
MIR30A	MIR30E	PIP4K2A	PIP4K2B
MIR30A	MIR30E	BRWD1	BRWD3
MIR30A	MIR30E	CDK4	CDK6
MIR30A	MIR30E	GNAI2	GNAI3
MIR30A	MIR30E	BAZ2A	BAZ2B
MIR30A	MIR30E	TMEM87A	TMEM87B
MIR30A	MIR30E	TET2	TET3
MIR30A	MIR30E	DDX5	DDX17
MIR30A	MIR30E	GIGYF1	GIGYF2
MIR30A	MIR30E	RCOR1	RCOR3
MIR30A	MIR30E	NOTCH1	NOTCH2
MIR30A	MIR30D	CRMP1	DPYSL2
MIR30A	MIR30D	ATL3	ATL2
