miRNA_1	miRNA_2	target
MIR103A1	MIR103A2	BCL2L11
MIR103A1	MIR103A2	RASSF5
MIR103A1	MIR103A2	GPC6
MIR103A1	MIR103A2	SINHCAF
MIR103A1	MIR103A2	HERC2
MIR103A1	MIR103A2	TMEM245
MIR103A1	MIR103A2	SDCBP
MIR103A1	MIR103A2	DLG5
MIR103A1	MIR103A2	ZBTB10
MIR103A1	MIR103A2	NUDCD2
MIR103A1	MIR103A2	PDE8B
MIR103A1	MIR103A2	AFF4
MIR103A1	MIR103A2	GIT2
MIR103A1	MIR103A2	C2CD5
MIR103A1	MIR103A2	HELZ
MIR103A1	MIR103A2	FOXP1
MIR103A1	MIR103A2	TGFBR3
MIR103A1	MIR103A2	VPS4A
MIR103A1	MIR103A2	ATP13A3
MIR103A1	MIR103A2	PTPN4
MIR103A1	MIR103A2	SUSD6
MIR103A1	MIR103A2	MYB
MIR103A1	MIR103A2	FAF2
MIR103A1	MIR103A2	SCN1A
MIR103A1	MIR103A2	CHD1
MIR103A1	MIR103A2	ARMC8
MIR103A1	MIR103A2	SLC8A1
MIR103A1	MIR103A2	NRXN1
MIR103A1	MIR103A2	BTLA
MIR103A1	MIR103A2	LRP1B
MIR103A1	MIR103A2	SYNPO2
MIR103A1	MIR103A2	CCND2
MIR103A1	MIR103A2	ZBTB39
MIR103A1	MIR103A2	AMMECR1
MIR103A1	MIR103A2	G3BP1
MIR103A1	MIR103A2	ZNF449
MIR103A1	MIR103A2	RAI14
MIR103A1	MIR103A2	PLEKHF2
MIR103A1	MIR103A2	LATS2
MIR103A1	MIR103A2	SON
MIR103A1	MIR103A2	DCP1A
MIR103A1	MIR103A2	KMT2A
MIR103A1	MIR103A2	PRKCA
MIR103A1	MIR103A2	CCDC6
MIR103A1	MIR103A2	RBAK
MIR103A1	MIR103A2	RGL1
MIR103A1	MIR103A2	ARHGAP5
MIR103A1	MIR103A2	PHF20
MIR103A1	MIR103A2	TBKBP1
