miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR29B2	MIR29C	COL3A1	COL11A1
MIR29B2	MIR29C	COL3A1	COL5A1
MIR29B2	MIR29C	COL3A1	COL5A2
MIR29B2	MIR29C	COL5A2	COL11A1
MIR29B2	MIR29C	COL5A2	COL5A1
MIR320A	MIR320B1	YWHAZ	YWHAH
MIR320A	MIR320B2	YWHAZ	YWHAH
MIR320A	MIR320C1	YWHAZ	YWHAH
MIR320A	MIR320C2	YWHAZ	YWHAH
MIR320B1	MIR320B2	YWHAZ	YWHAH
MIR320B1	MIR320C1	YWHAZ	YWHAH
MIR320B1	MIR320C2	YWHAZ	YWHAH
MIR320B2	MIR320C1	YWHAZ	YWHAH
MIR320B2	MIR320C2	YWHAZ	YWHAH
MIR320C1	MIR320C2	YWHAZ	YWHAH
MIR337	not_found	not_in_G	not_in_G
not_found	MIR376A1	not_in_G	not_in_G
not_found	MIR376A2	not_in_G	not_in_G
not_found	MIR376B	not_in_G	not_in_G
not_found	MIR376C	not_in_G	not_in_G
not_found	MIR506	not_in_G	not_in_G
not_found	MIR507	not_in_G	not_in_G
not_found	MIR508	not_in_G	not_in_G
not_found	MIR509-1	not_in_G	not_in_G
not_found	MIR509-2	not_in_G	not_in_G
not_found	MIR509-3	not_in_G	not_in_G
not_found	MIR510	not_in_G	not_in_G
not_found	MIR513A1	not_in_G	not_in_G
not_found	MIR513A2	not_in_G	not_in_G
not_found	MIR513B	not_in_G	not_in_G
not_found	MIR513C	not_in_G	not_in_G
not_found	MIR514A1	not_in_G	not_in_G
not_found	MIR514A2	not_in_G	not_in_G
not_found	MIR514A3	not_in_G	not_in_G
not_found	MIR514B	not_in_G	not_in_G
not_found	MIR888	not_in_G	not_in_G
not_found	MIR890	not_in_G	not_in_G
not_found	MIR892A	not_in_G	not_in_G
not_found	MIR892B	not_in_G	not_in_G
not_found	MIR892C	not_in_G	not_in_G
MIR376B	MIR376C	ESR1	AR
MIR450A1	MIR450A2	HNRNPD	HNRNPA3
MIR509-1	MIR509-1	RAB5B	RAB5C
MIR509-1	MIR509-2	RAB5B	RAB5C
MIR509-1	MIR509-3	RAB5B	RAB5C
MIR509-2	MIR509-3	RAB5B	RAB5C
MIR513A1	MIR513A2	LIFR	IL6ST
MIR513A1	MIR513A2	SNX4	SNX30
MIR513B	MIR513C	GABRA4	GABRB3
MIR514A1	MIR514A2	CUL2	CUL3
MIR514A1	MIR514A2	SCN2A	SCN3A
MIR514A1	MIR514A3	CUL2	CUL3
MIR514A1	MIR514A3	SCN2A	SCN3A
MIR514A2	MIR514A2	CUL2	CUL3
