miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR98	MIRLET7F1	RBMS1	RBMS2
MIR98	MIRLET7F1	MOB1A	MOB1B
MIR98	MIRLET7F1	IGF2BP2	IGF2BP1
MIR98	MIRLET7F1	IGF1R	INSR
MIR98	MIRLET7F1	NCOR1	NCOR2
MIRLET7B	MIRLET7F1	RBMS1	RBMS2
MIRLET7B	MIRLET7F1	MOB1A	MOB1B
MIRLET7B	MIRLET7F1	IGF2BP2	IGF2BP1
MIRLET7B	MIRLET7F1	IGF1R	INSR
MIRLET7B	MIRLET7F1	NCOR1	NCOR2
MIRLET7A2	MIRLET7C	IGF2BP2	IGF2BP1
MIRLET7A2	MIRLET7E	IGF2BP2	IGF2BP1
MIRLET7C	MIRLET7E	IGF2BP2	IGF2BP1
MIRLET7D	MIRLET7G	IGF1R	INSR
MIRLET7D	MIRLET7I	PPP2CA	PPP2CB
MIRLET7D	MIRLET7I	IGF1R	INSR
MIRLET7G	MIRLET7I	RBMS1	RBMS2
MIRLET7G	MIRLET7I	IGF2BP2	IGF2BP1
MIRLET7G	MIRLET7I	IGF1R	INSR
MIRLET7G	MIRLET7I	NCOR1	NCOR2
