miRNA_1	miRNA_2	PPI_bifan_target_1	PPI_bifan_target_2
MIR655	MIR889	not_in_G	not_in_G
MIR656	MIR758	not_in_G	not_in_G
MIR656	MIR889	not_in_G	not_in_G
MIR758	MIR889	not_in_G	not_in_G
MIR1283-1	MIR1323	not_in_G	not_in_G
MIR1283-1	MIR498	not_in_G	not_in_G
MIR1283-1	MIR515-1	not_in_G	not_in_G
MIR1283-1	MIR515-2	not_in_G	not_in_G
MIR1283-1	MIR517A	not_in_G	not_in_G
MIR1283-1	MIR517B	not_in_G	not_in_G
MIR1283-1	MIR517C	not_in_G	not_in_G
MIR1283-1	MIR519E	not_in_G	not_in_G
MIR1283-1	MIR520B	not_in_G	not_in_G
MIR1283-1	MIR520E	not_in_G	not_in_G
MIR1283-1	MIR520F	not_in_G	not_in_G
MIR1283-1	MIR520G	not_in_G	not_in_G
MIR1283-1	MIR524	not_in_G	not_in_G
MIR1283-1	MIR526A1	not_in_G	not_in_G
MIR1283-1	MIR526A2	not_in_G	not_in_G
MIR1283-2	MIR1323	not_in_G	not_in_G
MIR1283-2	MIR498	not_in_G	not_in_G
MIR1283-2	MIR515-1	not_in_G	not_in_G
MIR1283-2	MIR515-2	not_in_G	not_in_G
MIR1283-2	MIR517A	not_in_G	not_in_G
MIR1283-2	MIR517B	not_in_G	not_in_G
MIR1283-2	MIR517C	not_in_G	not_in_G
MIR1283-2	MIR519E	not_in_G	not_in_G
MIR1283-2	MIR520B	not_in_G	not_in_G
MIR1283-2	MIR520E	not_in_G	not_in_G
MIR1283-2	MIR520F	not_in_G	not_in_G
MIR1283-2	MIR520G	not_in_G	not_in_G
MIR1283-2	MIR524	not_in_G	not_in_G
MIR1283-2	MIR526A1	not_in_G	not_in_G
MIR1283-2	MIR526A2	not_in_G	not_in_G
MIR1323	MIR302A	not_in_G	not_in_G
MIR1323	MIR302B	not_in_G	not_in_G
MIR1323	MIR302C	not_in_G	not_in_G
MIR1323	MIR302D	not_in_G	not_in_G
MIR1323	MIR371A	not_in_G	not_in_G
MIR1323	MIR372	not_in_G	not_in_G
MIR1323	MIR373	not_in_G	not_in_G
MIR1323	MIR498	not_in_G	not_in_G
MIR1323	MIR512-1	not_in_G	not_in_G
MIR1323	MIR512-2	not_in_G	not_in_G
MIR1323	MIR515-1	not_in_G	not_in_G
MIR1323	MIR515-2	not_in_G	not_in_G
MIR1323	MIR516A1	not_in_G	not_in_G
MIR1323	MIR516A2	not_in_G	not_in_G
MIR1323	MIR516B1	not_in_G	not_in_G
MIR1323	MIR516B2	not_in_G	not_in_G
MIR1323	MIR517A	not_in_G	not_in_G
MIR1323	MIR517B	not_in_G	not_in_G
MIR1323	MIR517C	not_in_G	not_in_G
MIR1323	MIR518A1	not_in_G	not_in_G
MIR1323	MIR518A2	not_in_G	not_in_G
MIR1323	MIR518B	not_in_G	not_in_G
MIR1323	MIR518C	not_in_G	not_in_G
MIR1323	MIR518D	not_in_G	not_in_G
MIR1323	MIR518E	not_in_G	not_in_G
MIR1323	MIR518F	not_in_G	not_in_G
MIR1323	MIR519A1	not_in_G	not_in_G
MIR1323	MIR519A2	not_in_G	not_in_G
MIR1323	MIR519B	not_in_G	not_in_G
MIR1323	MIR519C	not_in_G	not_in_G
MIR1323	MIR519D	not_in_G	not_in_G
MIR1323	MIR519E	not_in_G	not_in_G
MIR1323	MIR520A	not_in_G	not_in_G
MIR1323	MIR520B	not_in_G	not_in_G
MIR1323	MIR520C	not_in_G	not_in_G
MIR1323	MIR520D	not_in_G	not_in_G
MIR1323	MIR520E	not_in_G	not_in_G
MIR1323	MIR520F	not_in_G	not_in_G
MIR1323	MIR520G	not_in_G	not_in_G
MIR1323	MIR520H	not_in_G	not_in_G
MIR1323	MIR521-1	not_in_G	not_in_G
MIR1323	MIR521-2	not_in_G	not_in_G
MIR1323	MIR522	not_in_G	not_in_G
MIR1323	MIR523	not_in_G	not_in_G
MIR1323	MIR524	not_in_G	not_in_G
MIR1323	MIR525	not_in_G	not_in_G
