miRNA_1	miRNA_2	target
MIR125B2	MIR99B	UGCG
MIR105-1	MIR105-2	not_in_G
MIR106A	MIR18A	ADD1
MIR106A	MIR18A	SLC38A2
MIR106A	MIR18A	ADAM9
MIR106A	MIR18A	STK4
MIR106A	MIR18A	PFKP
MIR106A	MIR18A	TRIM22
MIR106A	MIR18A	EGLN3
MIR106A	MIR18A	RLIM
MIR106A	MIR18A	TNFAIP3
MIR106A	MIR18A	PLXNA1
MIR106A	MIR18A	PRRX1
MIR106A	MIR18A	WNK1
MIR106A	MIR18A	PPP1R15B
MIR106A	MIR18A	COL4A1
MIR106A	MIR18A	ATXN10
MIR106A	MIR18A	SEMA7A
MIR106A	MIR18A	FUBP1
MIR106A	MIR18A	MAP3K2
MIR106A	MIR18A	FLNB
MIR106A	MIR18A	MAP3K9
MIR106A	MIR18A	PHC2
MIR106A	MIR18A	GSPT1
MIR106A	MIR18A	ZNFX1
MIR106A	MIR18A	NIN
MIR106A	MIR18A	PHC3
MIR106A	MIR18A	STARD7
MIR106A	MIR18A	CNOT11
MIR106A	MIR18A	CCND2
MIR106A	MIR18A	SCAMP2
MIR106A	MIR18A	KLF6
MIR106A	MIR18A	ZNF217
MIR106A	MIR18B	ADD1
MIR106A	MIR18B	ADAM9
MIR106A	MIR18B	STK4
MIR106A	MIR18B	PFKP
MIR106A	MIR18B	TRIM22
MIR106A	MIR18B	TNFAIP3
MIR106A	MIR18B	PRRX1
MIR106A	MIR18B	PPP1R15B
MIR106A	MIR18B	ATXN10
MIR106A	MIR18B	SEMA7A
MIR106A	MIR18B	FUBP1
MIR106A	MIR18B	MAP3K9
MIR106A	MIR18B	PHC2
MIR106A	MIR18B	GSPT1
MIR106A	MIR18B	ZNFX1
MIR106A	MIR18B	PHC3
MIR106A	MIR18B	CNOT11
MIR106A	MIR18B	CCND2
MIR106A	MIR18B	ZNF217
MIR106A	MIR20A	RNH1
MIR106A	MIR20A	TGFBR2
MIR106A	MIR20A	HECTD1
MIR106A	MIR20A	NME4
MIR106A	MIR20A	KIAA0232
MIR106A	MIR20A	UBE2W
MIR106A	MIR20A	TXNIP
MIR106A	MIR20A	COQ10B
MIR106A	MIR20A	IPO5
MIR106A	MIR20A	RASSF3
MIR106A	MIR20A	STK11
MIR106A	MIR20A	ARNTL2
MIR106A	MIR20A	EGLN3
MIR106A	MIR20A	KLHL28
MIR106A	MIR20A	LMBR1
MIR106A	MIR20A	REV3L
MIR106A	MIR20A	PRKAR1A
MIR106A	MIR20A	SOCS1
MIR106A	MIR20A	SOGA1
MIR106A	MIR20A	KMT2B
MIR106A	MIR20A	PHLDA1
MIR106A	MIR20A	RLIM
MIR106A	MIR20A	UBE2Z
MIR106A	MIR20A	AQR
MIR106A	MIR20A	E2F1
MIR106A	MIR20A	TSG101
MIR106A	MIR20A	GLO1
MIR106A	MIR20A	TTC9
MIR106A	MIR20A	HNRNPL
MIR106A	MIR20A	SMAD5
MIR106A	MIR20A	GAN
MIR106A	MIR20A	EIF2S1
MIR106A	MIR20A	ZNF337
MIR106A	MIR20A	KDM2A
