miRNA_1	miRNA_2	target
MIR125A	MIR99A	PPP2CA
MIR125A	MIR99A	TMEM135
MIR125A	MIR99A	FXR1
MIR125A	MIR99A	ATAD2B
MIR125A	MIR99A	WIPF2
MIR125A	MIR99A	TARDBP
MIR125A	MIR99A	MTAP
MIR125A	MIR99A	PDE4D
MIR125A	MIR99A	GK5
MIR125A	MIR99A	RAP2A
MIR125A	MIR99A	LCOR
MIR125A	MIR99A	PDPK1
MIR125A	MIR99A	TAOK1
MIR125A	MIR99A	TRIM71
MIR125A	MIR99A	TGOLN2
MIR125A	MIR99A	SMAD2
MIR125A	MIR99A	ACVR2B
MIR125A	MIR99A	PPP1CB
MIR125A	MIR99A	BAZ2A
MIR125A	MIR99A	ZBTB7A
MIR125A	MIR99A	CEP85
MIR125A	MIR99A	NUP210
MIR125A	MIR99A	PRDM1
MIR125A	MIR99A	SKI
MIR125A	MIR99A	PAFAH1B1
MIR125A	MIR99B	PPP2CA
MIR125A	MIR99B	TMEM135
MIR125A	MIR99B	FXR1
MIR125A	MIR99B	ATAD2B
MIR125A	MIR99B	TARDBP
MIR125A	MIR99B	MTAP
MIR125A	MIR99B	PDE4D
MIR125A	MIR99B	GK5
MIR125A	MIR99B	PSD3
MIR125A	MIR99B	DHX33
MIR125A	MIR99B	TMEM120B
MIR125A	MIR99B	TNFAIP3
MIR125A	MIR99B	KPNA6
MIR125A	MIR99B	TAOK1
MIR125A	MIR99B	TRIM71
MIR125A	MIR99B	TGOLN2
MIR125A	MIR99B	CYB561D1
MIR125A	MIR99B	SMAD2
MIR125A	MIR99B	ACVR2B
MIR125A	MIR99B	PPP1CB
MIR125A	MIR99B	BAZ2A
MIR125A	MIR99B	ZBTB7A
MIR125A	MIR99B	CEP85
MIR125A	MIR99B	NUP210
MIR125A	MIR99B	SKI
MIR125A	MIR99B	PAFAH1B1
MIR125B1	MIR99A	NF2
MIR125B1	MIR99A	DPP8
MIR125B1	MIR99A	LDAF1
MIR125B1	MIR99A	TMEM135
MIR125B1	MIR99A	ITSN1
MIR125B1	MIR99A	GPI
MIR125B1	MIR99A	JADE2
MIR125B1	MIR99A	CEP85
MIR125B1	MIR99A	NUP210
MIR125B1	MIR99A	PRDM1
MIR125B1	MIR99A	TRIM71
MIR125B1	MIR99A	IPO5
MIR125B1	MIR99A	SEC61A2
MIR125B1	MIR99A	PAFAH1B1
MIR125B1	MIR99A	LCOR
MIR125B1	MIR99B	NF2
MIR125B1	MIR99B	LDAF1
MIR125B1	MIR99B	TMEM135
MIR125B1	MIR99B	TNFAIP3
MIR125B1	MIR99B	KPNA6
MIR125B1	MIR99B	CEP85
MIR125B1	MIR99B	NUP210
MIR125B1	MIR99B	DHX33
MIR125B1	MIR99B	TRIM71
MIR125B1	MIR99B	PAFAH1B1
MIR125B2	MIR99A	PPP2CA
MIR125B2	MIR99A	TMEM135
MIR125B2	MIR99A	EEA1
MIR125B2	MIR99A	TBL1XR1
MIR125B2	MIR99A	ATAD2B
MIR125B2	MIR99A	CNKSR2
MIR125B2	MIR99A	WEE1
MIR125B2	MIR99A	JADE2
MIR125B2	MIR99A	PCNX1
MIR125B2	MIR99A	CRKL
MIR125B2	MIR99A	LCOR
MIR125B2	MIR99A	TAOK1
MIR125B2	MIR99A	TRIM71
MIR125B2	MIR99A	HNRNPU
MIR125B2	MIR99A	CEP85
MIR125B2	MIR99A	NUP210
MIR125B2	MIR99A	PRDM1
MIR125B2	MIR99A	BCL2L11
MIR125B2	MIR99A	PAFAH1B1
MIR125B2	MIR99B	PPP2CA
MIR125B2	MIR99B	TMEM135
MIR125B2	MIR99B	EEA1
MIR125B2	MIR99B	WEE1
MIR125B2	MIR99B	TBL1XR1
MIR125B2	MIR99B	TNFAIP3
MIR125B2	MIR99B	PCNX1
MIR125B2	MIR99B	HNRNPU
MIR125B2	MIR99B	ATAD2B
MIR125B2	MIR99B	CEP85
MIR125B2	MIR99B	NUP210
MIR125B2	MIR99B	DHX33
MIR125B2	MIR99B	TAOK1
MIR125B2	MIR99B	BCL2L11
MIR125B2	MIR99B	KPNA6
MIR125B2	MIR99B	TRIM71
MIR125B2	MIR99B	PAFAH1B1
MIR105-1	MIR105-2	HS6ST3
MIR105-1	MIR105-2	FBXO21
MIR105-1	MIR105-2	SRSF11
MIR105-1	MIR105-2	SLC6A6
MIR105-1	MIR105-2	MIER3
MIR105-1	MIR105-2	GABRB3
MIR105-1	MIR105-2	CNKSR3
MIR105-1	MIR105-2	AP1S3
MIR105-1	MIR105-2	NRXN1
MIR105-1	MIR105-2	RBMS1
MIR105-1	MIR105-2	MTF2
MIR105-1	MIR105-2	TEX2
MIR105-1	MIR105-2	LUZP6
MIR105-1	MIR105-2	TMEM64
MIR105-1	MIR105-2	EFHD1
MIR105-1	MIR105-2	MTSS1
MIR105-1	MIR105-2	PURB
MIR105-1	MIR105-2	SFRP1
MIR105-1	MIR105-2	BNIP2
MIR105-1	MIR105-2	ZNF532
MIR105-1	MIR105-2	IGF1R
MIR105-1	MIR105-2	SP3
MIR105-1	MIR105-2	ERBB4
MIR105-1	MIR105-2	CLIP1
MIR105-1	MIR105-2	THAP2
MIR105-1	MIR105-2	HP1BP3
MIR105-1	MIR105-2	TET2
MIR105-1	MIR105-2	PCDH9
MIR105-1	MIR105-2	SNX4
MIR105-1	MIR105-2	AMOT
MIR105-1	MIR105-2	KBTBD11
MIR105-1	MIR105-2	FTO
MIR105-1	MIR105-2	COPS8
MIR105-1	MIR105-2	RAB2A
MIR105-1	MIR105-2	CHFR
MIR105-1	MIR105-2	CPEB4
MIR105-1	MIR105-2	BCCIP
MIR105-1	MIR105-2	CTCF
MIR105-1	MIR105-2	NEDD4
MIR105-1	MIR105-2	KCNA1
MIR105-1	MIR105-2	MAPK1
MIR105-1	MIR105-2	ACSL6
MIR105-1	MIR105-2	CREB5
MIR105-1	MIR105-2	EPHA5
MIR105-1	MIR105-2	HOXA3
MIR105-1	MIR105-2	WDR19
MIR105-1	MIR105-2	TM9SF2
MIR105-1	MIR105-2	PTPN13
MIR105-1	MIR105-2	RIMBP2
MIR105-1	MIR105-2	FNIP2
MIR105-1	MIR105-2	TRAM1
MIR105-1	MIR105-2	BMPR1B
MIR105-1	MIR105-2	PGBD5
MIR105-1	MIR105-2	GPX5
MIR105-1	MIR105-2	CHRNA7
MIR105-1	MIR105-2	SEC62
MIR105-1	MIR105-2	TENT5A
MIR105-1	MIR105-2	ACRV1
MIR105-1	MIR105-2	ATAD2B
MIR105-1	MIR105-2	ZC3H6
MIR105-1	MIR105-2	COPS4
MIR105-1	MIR105-2	FBXO11
MIR105-1	MIR105-2	FCGR1B
MIR105-1	MIR105-2	ANXA9
MIR105-1	MIR105-2	HOXA1
MIR105-1	MIR105-2	BICRAL
MIR105-1	MIR105-2	GNAS
MIR105-1	MIR105-2	ENC1
MIR105-1	MIR105-2	SLC12A6
MIR105-1	MIR105-2	ZNF490
MIR105-1	MIR105-2	DOCK9
MIR105-1	MIR105-2	ZEB2
MIR105-1	MIR105-2	HNRNPA3
MIR105-1	MIR105-2	MEF2C
MIR105-1	MIR105-2	FAM120A
MIR105-1	MIR105-2	RPGRIP1L
MIR105-1	MIR105-2	TMTC1
MIR105-1	MIR105-2	IL2RB
MIR105-1	MIR105-2	DIS3
MIR105-1	MIR105-2	ELAVL3
MIR105-1	MIR105-2	SLF2
MIR105-1	MIR105-2	TLK1
MIR105-1	MIR105-2	TCERG1
MIR105-1	MIR105-2	PDE4D
MIR105-1	MIR105-2	PSG5
