miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR196A2	MIR196B	LIN28B	LIN28A
MIR196A2	MIR196B	LCOR	LCORL
MIR196A2	MIR196B	IGF2BP3	IGF2BP1
MIR199A1	MIR199A2	TAB2	TAB3
MIR199A1	MIR199A2	CELSR1	CELSR2
MIR199A1	MIR199A2	ACVR2B	ACVR2A
MIR199A1	MIR199A2	TSPAN3	TSPAN6
MIR199A1	MIR199A2	FBXW11	BTRC
MIR199A1	MIR199A2	PDE4D	PDE4B
MIR199A1	MIR199B	TAB2	TAB3
MIR199A1	MIR199B	CELSR1	CELSR2
MIR199A1	MIR199B	ACVR2B	ACVR2A
MIR199A1	MIR199B	TSPAN3	TSPAN6
MIR199A1	MIR199B	FBXW11	BTRC
MIR199A1	MIR199B	PDE4D	PDE4B
MIR199A2	MIR199B	TAB2	TAB3
MIR199A2	MIR199B	CELSR1	CELSR2
MIR199A2	MIR199B	ACVR2B	ACVR2A
MIR199A2	MIR199B	TSPAN3	TSPAN6
MIR199A2	MIR199B	FBXW11	BTRC
MIR199A2	MIR199B	PDE4D	PDE4B
MIR19B1	MIR19B2	MBNL1	MBNL2
MIR19B1	MIR19B2	ZDHHC3	ZDHHC7
MIR19B1	MIR19B2	ESR1	PGR
MIR19B1	MIR19B2	TAOK3	TAOK1
MIR19B1	MIR19B2	NPAS2	CLOCK
MIR19B1	MIR19B2	TNRC6A	TNRC6B
MIR19B1	MIR19B2	ADGRL2	ADGRL3
MIR19B1	MIR19B2	CALM1	CALM2
MIR19B1	MIR19B2	PHF20	PHF20L1
MIR19B1	MIR19B2	BCL11B	BCL11A
MIR19B1	MIR19B2	RAP1B	RAP1A
MIR19B1	MIR19B2	ATXN7L1	ATXN7
MIR141	MIR200A	MBNL1	MBNL3
MIR141	MIR200A	RANBP6	IPO5
MIR141	MIR200A	STAT4	STAT5B
MIR141	MIR200A	ZEB2	ZEB1
MIR141	MIR200A	PLAG1	PLAGL2
MIR141	MIR200A	EPHA2	EPHA7
MIR200B	MIR200C	NFIA	NFIB
MIR200B	MIR200C	ZEB2	ZEB1
MIR200B	MIR200C	RANBP9	RANBP10
MIR20A	MIR20B	NR4A3	NR4A2
MIR20A	MIR20B	EPHA4	EPHA7
MIR20A	MIR20B	RGMB	RGMA
MIR20A	MIR20B	ARID4A	ARID4B
MIR20A	MIR20B	TRIP10	FNBP1L
MIR20A	MIR93	NR4A3	NR4A2
MIR20A	MIR93	RGMB	RGMA
MIR20A	MIR93	ARID4A	ARID4B
MIR20A	MIR93	TRIP10	FNBP1L
MIR20B	MIR93	NR4A3	NR4A2
MIR20B	MIR93	RGMB	RGMA
MIR20B	MIR93	ARID4A	ARID4B
MIR20B	MIR93	TRIP10	FNBP1L
MIR204	MIR211	AP1S2	AP1S1
MIR204	MIR211	MTMR7	MTMR6
MIR204	MIR211	EPHB6	EPHB2
MIR204	MIR211	EPHB6	EPHA7
MIR204	MIR211	ZFHX4	ZFHX3
MIR204	MIR211	SOX4	SOX11
MIR204	MIR211	NR3C1	ESRRG
MIR204	MIR211	EPHA5	EPHB2
MIR204	MIR211	EPHB2	EPHA7
MIR192	MIR215	DIAPH1	DIAPH2
MIR192	MIR215	OLIG3	BHLHE22
MIR192	MIR215	ACVR2B	ACVR2A
MIR218-1	MIR218-2	MDGA1	MDGA2
MIR218-1	MIR218-2	MBNL1	MBNL2
MIR218-1	MIR218-2	SGCD	SGCZ
MIR219A1	MIR219A2	MECOM	PRDM16
MIR219A1	MIR219A2	SYT1	SYT5
MIR219A1	MIR219A2	CXXC4	CXXC5
MIR219A1	MIR219A2	EYA2	EYA1
MIR219A1	MIR219A2	TCF7L2	LEF1
MIR23A	MIR23B	NEK6	NEK7
MIR23A	MIR23B	CPEB2	CPEB4
MIR23A	MIR23B	ATP11C	ATP11A
MIR23A	MIR23B	FUT4	FUT9
MIR23A	MIR23B	UBE2D1	UBE2D3
MIR24-1	MIR24-2	NRP2	NRP1
MIR24-1	MIR24-2	RAP2C	RAP2A
MIR24-1	MIR24-2	REEP1	REEP2
MIR24-1	MIR24-2	PTPRF	PTPRD
MIR24-1	MIR24-2	EDA2R	TNFRSF19
MIR24-1	MIR24-2	PDGFRA	PDGFRB
MIR24-1	MIR24-2	TENM1	TENM3
MIR24-1	MIR24-2	RAP1B	RAP1A
MIR24-1	MIR24-2	ELL	ELL2
MIR24-1	MIR24-2	DUSP8	DUSP16
MIR26A1	MIR26A2	ACSL3	ACSL4
MIR26A1	MIR26A2	TET1	TET2
MIR26A1	MIR26A2	TET1	TET3
MIR26A1	MIR26A2	TET2	TET3
MIR26A1	MIR26A2	FAM98B	FAM98A
MIR26A1	MIR26A2	TNRC6C	TNRC6B
MIR26A1	MIR26A2	FMR1	FXR1
MIR26A1	MIR26A2	ULK2	ULK1
MIR26A1	MIR26A2	KPNA4	KPNA3
MIR26A1	MIR26A2	PRKCD	PRKCQ
MIR26A1	MIR26B	ACSL3	ACSL4
MIR26A1	MIR26B	TET1	TET2
MIR26A1	MIR26B	TET1	TET3
MIR26A1	MIR26B	TET2	TET3
