miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR329-1	MIR329-2	KLHL5	KLHL42
MIR329-1	MIR329-2	KLHL5	KLHL2
MIR329-1	MIR329-2	KLHL5	BACH2
MIR329-1	MIR329-2	ACVR1C	BMPR2
MIR329-1	MIR329-2	SSH1	DUSP10
MIR329-1	MIR329-2	GABRB2	CHRNA7
MIR329-1	MIR329-2	RALA	RAP1B
MIR329-1	MIR329-2	CILK1	NLK
MIR329-1	MIR329-2	ZNF681	ZNF268
MIR329-1	MIR329-2	ZNF681	ZNF621
MIR329-1	MIR329-2	ZNF681	ZNF33B
MIR329-1	MIR329-2	EPHA4	FLT1
MIR329-1	MIR329-2	PRLR	IL6ST
MIR329-1	MIR329-2	CELF6	CELF2
MIR329-1	MIR329-2	CELF6	CELF1
MIR329-1	MIR329-2	NAA50	NAA30
MIR329-1	MIR329-2	SLC4A7	SLC4A4
MIR329-1	MIR329-2	USP15	USP28
MIR329-1	MIR329-2	USP15	USP36
MIR329-1	MIR329-2	USP15	USP3
MIR329-1	MIR329-2	PTPRG	PTPRJ
MIR329-1	MIR329-2	PTPRG	PTPN1
MIR329-1	MIR329-2	BMP2	INHBB
MIR329-1	MIR329-2	UBXN7	FAF2
MIR329-1	MIR329-2	PDE4D	PDE5A
MIR329-1	MIR329-2	PDE4D	PDE3A
MIR329-1	MIR329-2	ZFX	ZNF480
MIR329-1	MIR329-2	PTPN1	PTPRJ
MIR329-1	MIR329-2	PDE3A	PDE5A
MIR329-1	MIR329-2	CDK14	PRPF4B
MIR329-1	MIR329-2	TARDBP	RBMS3
MIR329-1	MIR329-2	ZNF33B	ZNF268
MIR329-1	MIR329-2	ZNF33B	ZNF621
MIR329-1	MIR329-2	USP28	USP36
MIR329-1	MIR329-2	USP28	USP3
MIR329-1	MIR329-2	YAF2	RYBP
MIR329-1	MIR329-2	ADARB2	ADAD1
MIR329-1	MIR329-2	PCDHAC1	PCDH17
MIR329-1	MIR329-2	PCDHAC1	PCDHA4
MIR329-1	MIR329-2	ZNF268	ZNF621
MIR329-1	MIR329-2	FLT1	EPHB1
MIR329-1	MIR329-2	BACH2	KLHL42
MIR329-1	MIR329-2	BACH2	KLHL2
MIR329-1	MIR329-2	USP3	USP36
MIR329-1	MIR329-2	GNAQ	GNAL
MIR329-1	MIR329-2	ARL4A	ARL8B
MIR329-1	MIR329-2	KLHL42	KLHL2
MIR329-1	MIR329-2	ROBO1	IGDCC3
MIR329-1	MIR329-2	ANGEL2	CNOT6L
MIR329-1	MIR329-2	LHX9	ZFHX4
MIR329-1	MIR377	USP3	USP28
MIR329-1	MIR380	BACH2	KLHL2
MIR329-1	MIR382	ACVR1C	BMPR2
MIR329-1	MIR410	BMPR2	ACVR1C
MIR329-1	MIR411	YAF2	RYBP
MIR329-1	MIR412	USP15	USP28
MIR329-1	MIR485	RYBP	YAF2
MIR329-1	MIR485	PDE4D	PDE3A
MIR329-1	MIR494	YAF2	RYBP
MIR329-1	MIR495	BACH2	KLHL5
MIR329-1	MIR543	KLHL5	BACH2
MIR329-1	MIR655	USP15	USP3
MIR329-1	MIR758	RYBP	YAF2
MIR329-2	MIR377	USP3	USP28
MIR329-2	MIR380	BACH2	KLHL2
MIR329-2	MIR382	ACVR1C	BMPR2
MIR329-2	MIR410	BMPR2	ACVR1C
MIR329-2	MIR411	YAF2	RYBP
MIR329-2	MIR412	USP15	USP28
MIR329-2	MIR485	RYBP	YAF2
MIR329-2	MIR485	PDE4D	PDE3A
MIR329-2	MIR494	YAF2	RYBP
MIR329-2	MIR495	BACH2	KLHL5
MIR329-2	MIR543	KLHL5	BACH2
MIR329-2	MIR655	USP15	USP3
MIR329-2	MIR758	RYBP	YAF2
MIR377	MIR539	MTF1	ZNF148
MIR379	MIR411	SMURF1	UBR5
MIR379	MIR411	CADM1	CADM2
MIR379	MIR411	IGF1R	ERBB4
MIR379	MIR411	KDM2B	KDM7A
MIR379	MIR411	LHX6	ZFHX4
MIR379	MIR411	DUSP10	DUSP1
MIR379	MIR411	PTPN9	PTPRD
MIR379	MIR494	ZFHX4	LHX6
MIR380	MIR412	FLNA	MICAL2
MIR381	MIR889	USP1	USP15
MIR382	MIR410	BMPR2	ACVR1C
MIR382	MIR889	DDX3Y	DDX3X
MIR409	MIR487B	LRP6	LRP8
MIR409	MIR495	ZFHX4	LHX2
MIR410	MIR494	PRR20A	PRR20B
MIR410	MIR494	PRR20A	PRR20D
MIR410	MIR494	PRR20A	PRR20C
MIR410	MIR494	PRR20A	PRR20E
MIR410	MIR494	ZNF814	ZNF37A
MIR410	MIR494	PRR20C	PRR20B
MIR410	MIR494	PRR20C	PRR20D
MIR410	MIR494	PRR20C	PRR20E
MIR410	MIR494	KCNJ16	KCNJ9
MIR410	MIR494	ZFX	ZNF562
MIR410	MIR494	ZFX	ZNF552
MIR410	MIR494	PRR20E	PRR20B
MIR410	MIR494	PRR20E	PRR20D
MIR410	MIR494	ZNF552	ZNF562
MIR410	MIR494	PRR20B	PRR20D
MIR411	MIR485	AGO1	AGO4
MIR411	MIR485	YAF2	RYBP
MIR411	MIR494	LHX6	ZFHX4
MIR411	MIR494	YAF2	RYBP
MIR411	MIR654	AGO4	AGO1
MIR411	MIR758	YAF2	RYBP
MIR412	MIR758	GRIK3	GRIN2A
