miRNA_1	miRNA_2	target
MIR103A1	MIR103A2	RNF217
MIR103A1	MIR103A2	MGAT1
MIR103A1	MIR103A2	CHN1
MIR103A1	MIR103A2	SPCS3
MIR103A1	MIR103A2	CYR61
MIR103A1	MIR103A2	PCNXL3
MIR103A1	MIR103A2	TMEM44
MIR103A1	MIR103A2	TOMM34
MIR103A1	MIR103A2	TUBA1C
MIR103A1	MIR103A2	ZYG11B
MIR103A1	MIR103A2	KCNN4
MIR103A1	MIR103A2	ZDHHC4
MIR103A1	MIR103A2	MESDC1
MIR103A1	MIR103A2	IL6ST
MIR103A1	MIR103A2	VCP
MIR103A1	MIR103A2	MAP3K12
MIR103A1	MIR103A2	ZNRF2
MIR103A1	MIR103A2	CAP1
MIR103A1	MIR103A2	SLC5A3
MIR103A1	MIR103A2	ATF7
MIR103A1	MIR103A2	FBXO46
MIR103A1	MIR103A2	PSMD2
MIR103A1	MIR103A2	VPS51
MIR103A1	MIR103A2	IL24
MIR103A1	MIR103A2	BIRC6
MIR103A1	MIR103A2	MCRS1
MIR103A1	MIR103A2	ALAS1
MIR103A1	MIR103A2	CDC42SE2
MIR103A1	MIR103A2	ZBTB22
MIR103A1	MIR103A2	ZBTB20
MIR103A1	MIR103A2	MTDH
MIR103A1	MIR103A2	NELFA
MIR103A1	MIR103A2	RPA1
MIR103A1	MIR103A2	CDKN1A
MIR103A1	MIR103A2	RPS6KA3
MIR103A1	MIR103A2	IRF2BP2
MIR103A1	MIR103A2	BRD2
MIR103A1	MIR103A2	GRN
MIR103A1	MIR103A2	TUBA1B
MIR103A1	MIR103A2	PRKAR2A
MIR103A1	MIR103A2	ARL5A
MIR103A1	MIR103A2	MAP1B
MIR103A1	MIR103A2	NUP214
MIR103A1	MIR103A2	OS9
MIR103A1	MIR103A2	ASGR1
MIR103A1	MIR103A2	GGA2
MIR103A1	MIR103A2	RB1CC1
MIR103A1	MIR103A2	MOGS
MIR103A1	MIR103A2	F2R
MIR103A1	MIR103A2	PRR3
MIR103A1	MIR103A2	ADAR
MIR103A1	MIR103A2	BTBD3
MIR103A1	MIR103A2	CUL4B
MIR103A1	MIR103A2	NRIP1
MIR103A1	MIR103A2	RBM23
MIR103A1	MIR103A2	CHPF2
MIR103A1	MIR103A2	TOP2B
MIR103A1	MIR103A2	AIM1
MIR103A1	MIR103A2	TAGLN2
MIR103A1	MIR103A2	ARHGAP17
MIR103A1	MIR103A2	TSHZ1
MIR103A1	MIR103A2	C3
MIR103A1	MIR103A2	KLC1
MIR103A1	MIR103A2	RC3H1
MIR103A1	MIR103A2	EEF1B2
MIR103A1	MIR103A2	YWHAB
MIR103A1	MIR103A2	LIMD2
MIR103A1	MIR103A2	THEM6
MIR103A1	MIR103A2	RWDD1
MIR103A1	MIR103A2	PRKACA
MIR103A1	MIR103A2	RRP12
MIR103A1	MIR103A2	ENTPD4
MIR103A1	MIR103A2	CD276
MIR103A1	MIR103A2	NIN
MIR103A1	MIR103A2	ADD1
MIR103A1	MIR103A2	RAB1B
MIR103A1	MIR103A2	HIST1H2BI
MIR103A1	MIR103A2	PALM2-AKAP2
MIR103A1	MIR103A2	PLK1
MIR103A1	MIR103A2	STOM
MIR103A1	MIR103A2	FLOT1
MIR103A1	MIR103A2	TGFBR2
MIR103A1	MIR103A2	NUP210
MIR103A1	MIR103A2	KCTD10
MIR103A1	MIR103A2	MAP1S
MIR103A1	MIR103A2	DIAPH1
MIR103A1	MIR103A2	C21orf59
MIR103A1	MIR103A2	EPM2AIP1
MIR103A1	MIR103A2	FNDC4
MIR103A1	MIR103A2	GTSE1
MIR103A1	MIR103A2	SEC13
MIR103A1	MIR103A2	CDIPT
MIR103A1	MIR103A2	ITGA6
MIR103A1	MIR103A2	MMP14
MIR103A1	MIR103A2	PCBP1
MIR103A1	MIR103A2	SNCG
MIR103A1	MIR103A2	CHD3
MIR103A1	MIR103A2	POLR1B
MIR103A1	MIR103A2	AP2M1
MIR103A1	MIR103A2	C20orf27
MIR103A1	MIR103A2	SNAPC5
MIR103A1	MIR103A2	FAT4
MIR103A1	MIR103A2	TOP3A
MIR103A1	MIR103A2	C12orf57
MIR103A1	MIR103A2	CAD
MIR103A1	MIR103A2	TOB2
MIR103A1	MIR103A2	HSD17B12
MIR103A1	MIR103A2	SPTAN1
MIR103A1	MIR103A2	BZW2
MIR103A1	MIR103A2	OAS3
MIR103A1	MIR103A2	MYCBP2
MIR103A1	MIR103A2	HIST1H2BG
MIR103A1	MIR103A2	ARAP3
MIR103A1	MIR103A2	GTF2H4
MIR103A1	MIR103A2	HNRNPA0
MIR103A1	MIR103A2	PCSK7
MIR103A1	MIR103A2	IFNGR2
MIR103A1	MIR103A2	ACBD5
MIR103A1	MIR103A2	IRF4
MIR103A1	MIR103A2	RGS5
MIR103A1	MIR103A2	WDR6
MIR103A1	MIR103A2	EIF2AK1
MIR103A1	MIR103A2	GRAMD3
MIR103A1	MIR103A2	WLS
MIR103A1	MIR103A2	INPPL1
MIR103A1	MIR103A2	PGRMC1
MIR103A1	MIR103A2	PKN1
MIR103A1	MIR103A2	TBL1XR1
MIR103A1	MIR103A2	TMEM184B
MIR103A1	MIR103A2	RNH1
MIR103A1	MIR103A2	GBF1
MIR103A1	MIR103A2	ZNF780B
MIR103A1	MIR103A2	ANKRD50
MIR103A1	MIR103A2	VPS33B
MIR103A1	MIR103A2	FGD4
MIR103A1	MIR103A2	CHUK
MIR103A1	MIR103A2	AKAP11
MIR103A1	MIR103A2	KLF5
MIR103A1	MIR103A2	C4orf48
MIR103A1	MIR103A2	LAPTM4A
MIR103A1	MIR103A2	NDUFS8
MIR103A1	MIR103A2	PHLDA3
MIR103A1	MIR103A2	PUF60
MIR103A1	MIR103A2	FAM127A
MIR103A1	MIR103A2	NAA38
MIR103A1	MIR103A2	FAM103A1
MIR103A1	MIR103A2	TXNRD3
MIR103A1	MIR103A2	FOCAD
MIR103A1	MIR103A2	TMEM167B
MIR103A1	MIR103A2	SMPD1
MIR103A1	MIR103A2	ENG
MIR103A1	MIR103A2	LATS1
MIR103A1	MIR103A2	GFOD2
MIR103A1	MIR103A2	PLXNA4
MIR103A1	MIR103A2	SCG2
MIR103A1	MIR103A2	FLT1
MIR103A1	MIR103A2	HIST1H2BO
MIR103A1	MIR103A2	SLC25A10
MIR103A1	MIR103A2	HHIP
MIR103A1	MIR103A2	MED24
MIR103A1	MIR103A2	INF2
MIR103A1	MIR103A2	COG1
MIR103A1	MIR103A2	TSPAN3
MIR103A1	MIR103A2	ZNF618
